"index","id","synop","name","state","country","elevation","network","online","county","climate_site","wfo","modified","spri","tzname","iemid","archive_begin","metasite","ugc_county","ugc_zone","ncdc81","ncei91","longitude","latitude","plot_name","archive_end","geometry"
42,"LIC",93010,"LIMON MUNICIPAL","CO","US",1635,"CO_ASOS",TRUE,"Lincoln","CO5018","BOU","2021-05-05T10:48:22Z",0,"America/Denver",21858,"1973-01-01T00:00:00Z",FALSE,"COC073","COZ046","USW00093010","USW00093010",-103.66586,39.27478,,,c(-103.66586, 39.27478)
43,"LMO",9999,"LONGMONT/VBRAND","CO","US",1541,"CO_ASOS",TRUE,"Boulder","CO5116","BOU","2021-05-05T10:48:22Z",0,"America/Denver",9275,"2011-04-18T17:53:00Z",FALSE,"COC013","COZ239","USC00055116","USC00055116",-105.16304,40.16367,"LONGMONT/VBRAND ",,c(-105.16304, 40.16367)
44,"FLY",280,"Meadow Lake","CO","US",2082,"CO_ASOS",TRUE,"El Paso","CO1778","PUB","2021-05-05T10:48:22Z",0,"America/Denver",40088,"2011-01-17T20:14:00Z",FALSE,"COC041","COZ226","USW00093037","USC00052494",-104.5699,38.9457,"Meadow Lake",,c(-104.5699, 38.9457)
45,"EEO",94050,"MEEKER","CO","US",1957,"CO_ASOS",TRUE,"Garfield","CO5484","GJT","2021-05-05T10:48:22Z",0,"America/Denver",34716,"1978-10-31T02:00:00Z",FALSE,"COC103","COZ002","USW00094050","USW00094050",-107.88592,40.0488,,,c(-107.88592, 40.0488)
46,"MYP",3041,"MONARCH PASS (CDOT)","CO","US",3667,"CO_ASOS",TRUE,"Chaffee","CO1071","GJT","2021-05-05T10:48:22Z",0,"America/Denver",27227,"2001-09-01T06:17:00Z",FALSE,"COC051","COZ012","USC00057370","USC00057460",-106.31683,38.484,,,c(-106.31683, 38.484)
47,"MTJ",93013,"MONTROSE CO. ARPT","CO","US",1755,"CO_ASOS",TRUE,"Montrose","CO5722","GJT","2021-05-05T10:48:22Z",0,"America/Denver",34760,"1973-01-01T00:00:00Z",FALSE,"COC085","COZ011","USW00093013","USW00093013",-107.8975,38.505,,,c(-107.8975, 38.505)
48,"MNH",3040,"MONUMENT/ELBERT (CDOT)","CO","US",2152,"CO_ASOS",TRUE,"Elbert","CO1401","BOU","2021-05-05T10:48:22Z",0,"America/Denver",27220,"2001-09-01T06:16:00Z",FALSE,"COC039","COZ241","USC00052631","USC00052494",-104.64224,39.22314,,,c(-104.64224, 39.22314)
49,"3MW",99999,"MT WERNER SBS","CO","US",3241,"CO_ASOS",TRUE,"Jackson","CO7936","GJT","2021-05-05T10:48:22Z",0,"America/Denver",27894,"2005-04-01T07:10:00Z",FALSE,"COC107","COZ004","USC00057936","USC00057936",-106.75,40.45,,"2014-07-21T16:30:00Z",c(-106.75, 40.45)
50,"AIB",429,"Nucla","CO","US",1810.1539,"CO_ASOS",TRUE,"Montrose","CO3246","GJT","2021-05-05T10:48:22Z",0,"America/Denver",55258,"2012-12-07T16:35:00Z",FALSE,"COC085","COZ020","USC00058560","USC00058560",-108.56327,38.23875,"Nucla",,c(-108.56327, 38.23875)
51,"PSO",165,"Pagosa Springs","CO","US",2336,"CO_ASOS",TRUE,"Archuleta","CO3951","GJT","2021-05-05T10:48:22Z",0,"America/Denver",22662,"2009-10-01T19:55:00Z",FALSE,"COC007","COZ207","USC00056259","USC00292608",-107.056,37.28625,"Pagosa Springs",,c(-107.056, 37.28625)
52,"PUB",93058,"PUEBLO MEMORIAL(AW)","CO","US",1439,"CO_ASOS",TRUE,"Pueblo","CO6740","PUB","2021-05-05T10:48:22Z",0,"America/Denver",34675,"1942-10-01T07:00:00Z",FALSE,"COC101","COZ086","USW00093058","USW00093058",-104.49833,38.29,,,c(-104.49833, 38.29)
53,"4V0",,"Rangely","CO","US",1605.0275,"CO_ASOS",TRUE,"Rio Blanco","CO0214","GJT","2021-05-05T10:48:22Z",0,"America/Denver",250421,"2016-05-22T17:55:00Z",FALSE,"COC103","COZ202","USC00056832","USC00056832",-108.7593,40.0956,"Rangely",,c(-108.7593, 40.0956)
54,"1NW",,"Raymer","CO","US",1462.5062,"CO_ASOS",TRUE,"Weld","CO5934","BOU","2021-09-29T10:14:55Z",0,"America/Denver",250460,"2016-05-22T17:58:00Z",FALSE,"COC123","COZ242","USC00055922","USC00055922",-103.8371,40.6319,"Raymer",,c(-103.8371, 40.6319)
55,"CCU",3038,"RED CLIFF PASS (CDOT)","CO","US",3680,"CO_ASOS",TRUE,"Park","CO2281","BOU","2021-05-05T10:48:22Z",0,"America/Denver",9449,"2001-10-01T06:16:00Z",FALSE,"COC117","COZ034","USC00051660","USC00051660",-106.153,39.475,,,c(-106.153, 39.475)
56,"RIL",3016,"RIFLE/GARFIELD RGNL","CO","US",1691,"CO_ASOS",TRUE,"Garfield","CO7031","GJT","2021-05-05T10:48:22Z",0,"America/Denver",26454,"1987-06-09T14:00:00Z",FALSE,"COC045","COZ203","USW00003016","USW00003016",-107.72694,39.52631,,,c(-107.72694, 39.52631)
57,"04V",3069,"SAGUACHE MUNI","CO","US",2385,"CO_ASOS",TRUE,"Saguache","CO2184","PUB","2021-05-05T10:48:22Z",0,"America/Denver",27892,"2004-10-01T06:13:00Z",FALSE,"COC109","COZ069","USC00057337","USC00057337",-106.17,38.1,,,c(-106.17, 38.1)
58,"ANK",159,"Salida","CO","US",2293,"CO_ASOS",TRUE,"Saguache","CO1071","PUB","2021-05-05T10:48:22Z",0,"America/Denver",22686,"2010-10-05T02:35:00Z",FALSE,"COC015","COZ062","USC00057370","USC00057370",-106.0486389,38.5382778,"Salida",,c(-106.0486389, 38.5382778)
59,"SHM",9999,"Schriever AFB","CO","US",1896.5726,"CO_ASOS",TRUE,"El Paso","CO1778","PUB","2021-05-05T10:48:22Z",0,"America/Denver",236279,"2013-11-27T19:56:00Z",FALSE,"COC041","COZ227","USW00093037","USC00052668",-104.5167,38.8,"Schriever AFB","2018-02-17T06:58:00Z",c(-104.5167, 38.8)
60,"SPD",3028,"SPRINGFIELD/COMANCHE NATL GRASS","CO","US",1335,"CO_ASOS",TRUE,"Baca","CO8793","PUB","2021-05-05T10:48:22Z",0,"America/Denver",9571,"1998-07-01T06:17:00Z",FALSE,"COC009","COZ237","USW00003028","USW00003028",-102.61389,37.28333,,,c(-102.61389, 37.28333)
61,"SBS",94033,"STEAMBOAT SPRINGS","CO","US",2096,"CO_ASOS",TRUE,"Jackson","CO7936","GJT","2021-05-05T10:48:22Z",0,"America/Denver",21920,"1984-06-07T12:00:00Z",FALSE,"COC107","COZ201","USC00057936","USC00057936",-106.86631,40.51625,,,c(-106.86631, 40.51625)
62,"STK",168,"Sterling","CO","US",1230,"CO_ASOS",TRUE,"Washington","CO4945","BOU","2021-05-05T10:48:22Z",0,"America/Denver",35974,"1948-01-01T07:00:00Z",FALSE,"COC075","COZ248","USC00057950","USC00057950",-103.2648,40.6153,"Sterling",,c(-103.2648, 40.6153)
63,"5SM",424,"Sunlight","CO","US",3232,"CO_ASOS",TRUE,"Garfield","CO7618","GJT","2021-05-05T10:48:22Z",0,"America/Denver",36163,"2005-06-01T06:10:00Z",FALSE,"COC045","COZ010","USC00053359","USC00053359",-107.379,39.426,"Sunlight",,c(-107.379, 39.426)
64,"TEX",3011,"TELLURIDE REGIONAL","CO","US",2769,"CO_ASOS",TRUE,"San Juan","CO8204","GJT","2021-05-05T10:48:22Z",0,"America/Denver",26452,"1987-02-13T20:00:00Z",FALSE,"COC113","COZ018","USC00058204","USC00058204",-107.90848,37.95376,,,c(-107.90848, 37.95376)
65,"TAD",23070,"TRINIDAD/ANIMAS CO.","CO","US",1756,"CO_ASOS",TRUE,"Las Animas","CO8434","PUB","2021-05-05T10:48:22Z",0,"America/Denver",30305,"1948-01-01T07:00:00Z",FALSE,"COC071","COZ088","USW00023070","USW00023070",-104.34068,37.25938,,,c(-104.34068, 37.25938)
66,"33V",9999,"Walden","CO","US",2484,"CO_ASOS",TRUE,"Grand","CO8756","BOU","2021-05-05T10:48:22Z",0,"America/Denver",22687,"2011-01-14T16:40:00Z",FALSE,"COC057","COZ030","USC00058756","USC00058756",-106.2715,40.7503,"Walden",,c(-106.2715, 40.7503)
67,"4V1",,"Walsenburg","CO","US",1843.6492,"CO_ASOS",TRUE,"Huerfano","CO8781","PUB","2021-06-27T06:58:49Z",0,"America/Denver",260014,"2021-03-03T13:55:00Z",FALSE,"COC055","COZ229","USC00058781","USC00058781",-104.7881,37.6941,"Walsenburg",,c(-104.7881, 37.6941)
68,"C07",,"Walton Peak","CO","US",3210.7876,"CO_ASOS",TRUE,"Routt","CO7936","GJT","2021-05-05T10:48:22Z",0,"America/Denver",250620,"2016-06-30T17:35:00Z",FALSE,"COC107","COZ201","USC00057936","USC00057936",-106.6992,40.3544,"Walton Peak",,c(-106.6992, 40.3544)
69,"4BM",422,"WILKERSON PASS","CO","US",3438,"CO_ASOS",TRUE,"Teller","CO4742","PUB","2021-05-05T10:48:22Z",0,"America/Denver",22681,"1976-09-26T08:00:00Z",FALSE,"COC093","COZ037","USC00054742","USC00054742",-105.514,39.05,"WILKERSON PASS  ",,c(-105.514, 39.05)
70,"CPW",3039,"WOLF CREEK PASS (CDOT)","CO","US",3584,"CO_ASOS",TRUE,"Mineral","CO3951","PUB","2021-05-05T10:48:22Z",0,"America/Denver",30315,"1973-01-01T00:00:00Z",FALSE,"COC079","COZ068","USC00059181","USC00051948",-106.8,37.45,,,c(-106.8, 37.45)
71,"2V5",9999,"Wray","CO","US",1117.7,"CO_ASOS",TRUE,"Yuma","CO9243","GLD","2021-05-05T10:48:22Z",0,"America/Denver",28953,"2011-04-18T17:55:00Z",FALSE,"COC125","COZ252","USC00059243","USC00059243",-102.24096,40.1003233,"Wray",,c(-102.24096, 40.1003233)
72,"2V6",,"Yuma","CO","US",1255.8844,"CO_ASOS",TRUE,"Yuma","CO9295","GLD","2021-05-05T10:48:22Z",0,"America/Denver",251360,"2016-10-12T20:14:00Z",FALSE,"COC125","COZ252","USC00059295","USC00059295",-102.7128,40.1046,"Yuma",,c(-102.7128, 40.1046)
